age,gender,race,education,occupation,hours_per_week,capital_gain,capital_loss,predicted_label,true_label
56,Male,White,Masters,Exec-managerial,53,0,0,1,1
46,Female,White,Some-college,Craft-repair,23,0,0,0,0
32,Male,White,Some-college,Exec-managerial,54,0,0,1,1
60,Male,Black,HS-grad,Other-service,37,0,0,0,0
25,Male,Asian-Pac-Islander,Doctorate,Prof-specialty,28,0,0,1,1
38,Female,White,HS-grad,Exec-managerial,37,0,0,0,0
56,Male,White,Bachelors,Exec-managerial,32,0,0,1,1
36,Female,White,Masters,Sales,44,17480,0,1,1
40,Female,White,Some-college,Prof-specialty,33,0,0,0,0
28,Male,White,Some-college,Other-service,20,0,0,0,0
28,Male,White,HS-grad,Adm-clerical,37,0,0,0,0
41,Female,White,HS-grad,Adm-clerical,26,0,0,0,0
53,Female,White,Bachelors,Adm-clerical,42,0,0,0,1
57,Female,White,Some-college,Craft-repair,28,0,0,0,0
41,Male,White,Some-college,Adm-clerical,35,0,0,0,0
20,Female,White,Masters,Craft-repair,41,0,0,1,1
39,Male,White,Some-college,Other-service,37,0,0,0,0
19,Male,Black,Doctorate,Other-service,42,8537,0,1,1
41,Female,White,Masters,Exec-managerial,46,0,0,1,1
61,Male,White,Bachelors,Adm-clerical,28,0,0,1,1
47,Female,White,HS-grad,Sales,39,0,0,0,0
55,Male,White,Masters,Other-service,10,0,0,1,1
19,Female,White,Masters,Prof-specialty,42,0,0,1,1
38,Male,White,HS-grad,Prof-specialty,36,0,0,0,0
50,Male,Black,Some-college,Other-service,30,0,0,0,0
29,Female,White,Bachelors,Exec-managerial,43,0,0,1,1
39,Male,White,HS-grad,Prof-specialty,51,0,0,1,0
61,Male,White,Masters,Prof-specialty,35,0,0,1,1
42,Female,Asian-Pac-Islander,Masters,Exec-managerial,30,0,0,1,1
44,Male,White,Masters,Exec-managerial,41,0,0,1,1
59,Female,Asian-Pac-Islander,HS-grad,Exec-managerial,26,0,0,0,0
45,Male,Black,Bachelors,Sales,33,0,0,0,0
33,Male,White,Masters,Exec-managerial,52,0,0,1,1
32,Female,White,Masters,Exec-managerial,40,0,0,1,1
64,Male,Other,Bachelors,Exec-managerial,21,0,0,1,1
61,Male,White,Doctorate,Other-service,22,0,0,1,1
20,Male,White,HS-grad,Adm-clerical,41,0,0,0,0
54,Female,White,Masters,Other-service,48,0,0,1,1
24,Male,White,Some-college,Adm-clerical,23,0,0,0,0
38,Male,White,Bachelors,Sales,44,0,0,0,0
26,Male,White,Bachelors,Sales,53,9911,0,1,1
56,Male,White,Some-college,Prof-specialty,58,0,0,1,1
35,Male,White,Masters,Other-service,43,0,0,1,1
