age,age_group,personal_status,employment,savings,duration,amount,predicted_label,true_label
28,Under 30,male single,4<=X<7,<100,8,12411,0,0
44,40-49,male single,unemployed,>=1000,14,10641,0,0
39,30-39,female single,1<=X<4,<100,30,890,0,0
42,40-49,male single,>=7,no known savings,25,14949,0,0
62,50+,female div/dep/mar,4<=X<7,no known savings,14,9222,0,0
54,50+,male mar/wid,unemployed,no known savings,14,2098,0,0
28,Under 30,male single,>=7,<100,20,1014,1,1
61,50+,male mar/wid,>=7,<100,35,14828,1,1
53,50+,male mar/wid,1<=X<4,500<=X<1000,21,9661,1,1
41,40-49,female single,>=7,>=1000,58,14994,1,1
65,50+,male div/sep,<1,no known savings,28,5538,0,0
54,50+,female div/dep/mar,1<=X<4,<100,23,2288,0,0
59,50+,female single,<1,no known savings,20,5632,0,0
36,30-39,male mar/wid,4<=X<7,500<=X<1000,55,6738,1,1
44,40-49,male single,>=7,<100,47,10428,0,0
60,50+,male mar/wid,4<=X<7,<100,36,11398,0,0
69,50+,male single,<1,no known savings,18,1941,0,0
19,Under 30,male single,>=7,<100,10,13527,1,1
35,30-39,female single,1<=X<4,100<=X<500,30,13574,0,0
50,50+,male mar/wid,<1,no known savings,25,10501,0,0
19,Under 30,male mar/wid,unemployed,500<=X<1000,37,10036,0,0
70,50+,male single,4<=X<7,<100,54,4211,0,0
47,40-49,male mar/wid,1<=X<4,no known savings,9,9808,0,0
27,Under 30,male mar/wid,1<=X<4,100<=X<500,22,4582,1,1
50,50+,female single,4<=X<7,500<=X<1000,9,8483,1,1
22,Under 30,male single,unemployed,500<=X<1000,54,1407,0,0
63,50+,female div/dep/mar,>=7,500<=X<1000,69,13531,0,0
58,50+,female div/dep/mar,>=7,500<=X<1000,48,12089,1,1
52,50+,female div/dep/mar,4<=X<7,<100,50,4574,0,0
41,40-49,male div/sep,4<=X<7,no known savings,61,10630,0,0
35,30-39,male single,unemployed,100<=X<500,6,3981,0,0
29,Under 30,male single,1<=X<4,<100,55,6681,0,0
68,50+,male mar/wid,1<=X<4,no known savings,61,14092,0,0
25,Under 30,male single,1<=X<4,<100,49,3780,0,0
18,Under 30,male single,<1,no known savings,29,12543,0,0
48,40-49,male mar/wid,1<=X<4,500<=X<1000,62,2247,0,0
43,40-49,female single,1<=X<4,<100,33,14898,0,0
52,50+,male div/sep,1<=X<4,<100,42,6811,0,0
34,30-39,male single,>=7,no known savings,57,1423,0,0
46,40-49,male mar/wid,4<=X<7,<100,33,1145,0,0
44,40-49,female single,1<=X<4,500<=X<1000,51,4271,1,1
37,30-39,male single,>=7,100<=X<500,28,8035,1,1
57,50+,male mar/wid,4<=X<7,>=1000,50,5031,1,1
64,50+,male single,4<=X<7,>=1000,13,8178,1,1
68,50+,male mar/wid,4<=X<7,>=1000,48,9354,1,0
45,40-49,male mar/wid,>=7,<100,54,14034,0,0
60,50+,female div/dep/mar,4<=X<7,>=1000,44,14965,1,1
63,50+,male single,1<=X<4,<100,13,1492,1,1
29,Under 30,male div/sep,>=7,<100,46,3772,1,1
